Country_Code,Country,Region,Year,Indicator_Name,Indicator_Code,Value,Source
ARG,Argentina,Latin America,2018,Current Account Balance (% of GDP),BCA_NGDPD,-5.2,IMF
ARG,Argentina,Latin America,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.87773990631104,World Bank
ARG,Argentina,Latin America,2018,Fiscal Balance (% of GDP),GGXCNL_NGDP,-5.4,IMF
ARG,Argentina,Latin America,2018,GDP Growth Rate (Annual %),NGDP_RPCH,-2.6,IMF
ARG,Argentina,Latin America,2018,GNI per Capita,NY.GNP.PCAP.CD,12390.0,World Bank
ARG,Argentina,Latin America,2018,Government Debt (% of GDP),GGXWDG_NGDP,85.2,IMF
ARG,Argentina,Latin America,2018,Inflation Rate (CPI),PCPIPCH,34.3,IMF
ARG,Argentina,Latin America,2018,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,1151820000.0,World Bank
ARG,Argentina,Latin America,2018,Population,SP.POP.TOTL,44654882.0,World Bank
ARG,Argentina,Latin America,2018,Railway Infrastructure,IS.RRS.TOTL.KM,17866.0,World Bank
ARG,Argentina,Latin America,2018,Unemployment Rate,LUR,9.2,IMF
ARG,Argentina,Latin America,2019,Current Account Balance (% of GDP),BCA_NGDPD,-0.8,IMF
ARG,Argentina,Latin America,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.7716498374939,World Bank
ARG,Argentina,Latin America,2019,Fiscal Balance (% of GDP),GGXCNL_NGDP,-4.4,IMF
ARG,Argentina,Latin America,2019,GDP Growth Rate (Annual %),NGDP_RPCH,-2.0,IMF
ARG,Argentina,Latin America,2019,GNI per Capita,NY.GNP.PCAP.CD,11210.0,World Bank
ARG,Argentina,Latin America,2019,Government Debt (% of GDP),GGXWDG_NGDP,89.8,IMF
ARG,Argentina,Latin America,2019,Inflation Rate (CPI),PCPIPCH,53.5,IMF
ARG,Argentina,Latin America,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,2060400000.0,World Bank
ARG,Argentina,Latin America,2019,Population,SP.POP.TOTL,44973465.0,World Bank
ARG,Argentina,Latin America,2019,Railway Infrastructure,IS.RRS.TOTL.KM,17866.0,World Bank
ARG,Argentina,Latin America,2019,Unemployment Rate,LUR,9.8,IMF
ARG,Argentina,Latin America,2020,Current Account Balance (% of GDP),BCA_NGDPD,0.7,IMF
ARG,Argentina,Latin America,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.27689981460571,World Bank
ARG,Argentina,Latin America,2020,Fiscal Balance (% of GDP),GGXCNL_NGDP,-8.7,IMF
