Country_Code,Country,Region,Year,Indicator_Name,Indicator_Code,Value,Source
ARG,Argentina,Latin America,2018,Current Account Balance (% of GDP),BCA_NGDPD,-5.2,IMF
ARG,Argentina,Latin America,2018,Fiscal Balance (% of GDP),GGXCNL_NGDP,-5.4,IMF
ARG,Argentina,Latin America,2018,GDP Growth Rate (Annual %),NGDP_RPCH,-2.6,IMF
ARG,Argentina,Latin America,2018,Government Debt (% of GDP),GGXWDG_NGDP,85.2,IMF
ARG,Argentina,Latin America,2018,Inflation Rate (CPI),PCPIPCH,34.3,IMF
ARG,Argentina,Latin America,2018,Unemployment Rate,LUR,9.2,IMF
ARG,Argentina,Latin America,2019,Current Account Balance (% of GDP),BCA_NGDPD,-0.8,IMF
ARG,Argentina,Latin America,2019,Fiscal Balance (% of GDP),GGXCNL_NGDP,-4.4,IMF
ARG,Argentina,Latin America,2019,GDP Growth Rate (Annual %),NGDP_RPCH,-2.0,IMF
ARG,Argentina,Latin America,2019,Government Debt (% of GDP),GGXWDG_NGDP,89.8,IMF
ARG,Argentina,Latin America,2019,Inflation Rate (CPI),PCPIPCH,53.5,IMF
ARG,Argentina,Latin America,2019,Unemployment Rate,LUR,9.8,IMF
ARG,Argentina,Latin America,2020,Current Account Balance (% of GDP),BCA_NGDPD,0.7,IMF
ARG,Argentina,Latin America,2020,Fiscal Balance (% of GDP),GGXCNL_NGDP,-8.7,IMF
ARG,Argentina,Latin America,2020,GDP Growth Rate (Annual %),NGDP_RPCH,-9.9,IMF
ARG,Argentina,Latin America,2020,Government Debt (% of GDP),GGXWDG_NGDP,103.8,IMF
ARG,Argentina,Latin America,2020,Inflation Rate (CPI),PCPIPCH,42.0,IMF
ARG,Argentina,Latin America,2020,Unemployment Rate,LUR,11.6,IMF
ARG,Argentina,Latin America,2021,Current Account Balance (% of GDP),BCA_NGDPD,1.4,IMF
ARG,Argentina,Latin America,2021,Fiscal Balance (% of GDP),GGXCNL_NGDP,-4.3,IMF
ARG,Argentina,Latin America,2021,GDP Growth Rate (Annual %),NGDP_RPCH,10.4,IMF
ARG,Argentina,Latin America,2021,Government Debt (% of GDP),GGXWDG_NGDP,81.0,IMF
ARG,Argentina,Latin America,2021,Inflation Rate (CPI),PCPIPCH,48.4,IMF
ARG,Argentina,Latin America,2021,Unemployment Rate,LUR,8.8,IMF
ARG,Argentina,Latin America,2022,Current Account Balance (% of GDP),BCA_NGDPD,-0.6,IMF
ARG,Argentina,Latin America,2022,Fiscal Balance (% of GDP),GGXCNL_NGDP,-3.8,IMF
ARG,Argentina,Latin America,2022,GDP Growth Rate (Annual %),NGDP_RPCH,6.0,IMF
ARG,Argentina,Latin America,2022,Government Debt (% of GDP),GGXWDG_NGDP,84.3,IMF
ARG,Argentina,Latin America,2022,Inflation Rate (CPI),PCPIPCH,72.4,IMF
ARG,Argentina,Latin America,2022,Unemployment Rate,LUR,6.8,IMF
ARG,Argentina,Latin America,2023,Current Account Balance (% of GDP),BCA_NGDPD,-3.2,IMF
ARG,Argentina,Latin America,2023,Fiscal Balance (% of GDP),GGXCNL_NGDP,-5.3,IMF
ARG,Argentina,Latin America,2023,GDP Growth Rate (Annual %),NGDP_RPCH,-1.9,IMF
ARG,Argentina,Latin America,2023,Government Debt (% of GDP),GGXWDG_NGDP,154.6,IMF
ARG,Argentina,Latin America,2023,Inflation Rate (CPI),PCPIPCH,133.5,IMF
ARG,Argentina,Latin America,2023,Unemployment Rate,LUR,6.1,IMF
ARG,Argentina,Latin America,2024,Current Account Balance (% of GDP),BCA_NGDPD,0.9,IMF
ARG,Argentina,Latin America,2024,Fiscal Balance (% of GDP),GGXCNL_NGDP,0.5,IMF
ARG,Argentina,Latin America,2024,GDP Growth Rate (Annual %),NGDP_RPCH,-1.3,IMF
ARG,Argentina,Latin America,2024,Government Debt (% of GDP),GGXWDG_NGDP,84.7,IMF
ARG,Argentina,Latin America,2024,Inflation Rate (CPI),PCPIPCH,219.9,IMF
ARG,Argentina,Latin America,2024,Unemployment Rate,LUR,7.2,IMF
BGD,Bangladesh,Asia,2018,Current Account Balance (% of GDP),BCA_NGDPD,-3.0,IMF
BGD,Bangladesh,Asia,2018,Fiscal Balance (% of GDP),GGXCNL_NGDP,-4.1,IMF
BGD,Bangladesh,Asia,2018,GDP Growth Rate (Annual %),NGDP_RPCH,7.3,IMF
BGD,Bangladesh,Asia,2018,Government Debt (% of GDP),GGXWDG_NGDP,29.6,IMF
BGD,Bangladesh,Asia,2018,Inflation Rate (CPI),PCPIPCH,5.8,IMF
BGD,Bangladesh,Asia,2019,Current Account Balance (% of GDP),BCA_NGDPD,-1.3,IMF
BGD,Bangladesh,Asia,2019,Fiscal Balance (% of GDP),GGXCNL_NGDP,-5.4,IMF
BGD,Bangladesh,Asia,2019,GDP Growth Rate (Annual %),NGDP_RPCH,7.9,IMF
BGD,Bangladesh,Asia,2019,Government Debt (% of GDP),GGXWDG_NGDP,32.0,IMF
BGD,Bangladesh,Asia,2019,Inflation Rate (CPI),PCPIPCH,5.5,IMF
BGD,Bangladesh,Asia,2020,Current Account Balance (% of GDP),BCA_NGDPD,-1.5,IMF
BGD,Bangladesh,Asia,2020,Fiscal Balance (% of GDP),GGXCNL_NGDP,-4.8,IMF
BGD,Bangladesh,Asia,2020,GDP Growth Rate (Annual %),NGDP_RPCH,3.4,IMF
