Country_Code,Country,Region,Year,Indicator_Name,Indicator_Code,Value,Source
ARG,Argentina,Latin America,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.87773990631104,World Bank
ARG,Argentina,Latin America,2018,GNI per Capita,NY.GNP.PCAP.CD,12390.0,World Bank
ARG,Argentina,Latin America,2018,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,1151820000.0,World Bank
ARG,Argentina,Latin America,2018,Population,SP.POP.TOTL,44654882.0,World Bank
ARG,Argentina,Latin America,2018,Railway Infrastructure,IS.RRS.TOTL.KM,17866.0,World Bank
ARG,Argentina,Latin America,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.7716498374939,World Bank
ARG,Argentina,Latin America,2019,GNI per Capita,NY.GNP.PCAP.CD,11210.0,World Bank
ARG,Argentina,Latin America,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,2060400000.0,World Bank
ARG,Argentina,Latin America,2019,Population,SP.POP.TOTL,44973465.0,World Bank
ARG,Argentina,Latin America,2019,Railway Infrastructure,IS.RRS.TOTL.KM,17866.0,World Bank
ARG,Argentina,Latin America,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.27689981460571,World Bank
ARG,Argentina,Latin America,2020,GNI per Capita,NY.GNP.PCAP.CD,9040.0,World Bank
ARG,Argentina,Latin America,2020,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,160000000.0,World Bank
ARG,Argentina,Latin America,2020,Population,SP.POP.TOTL,45191965.0,World Bank
ARG,Argentina,Latin America,2021,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.65393018722534,World Bank
ARG,Argentina,Latin America,2021,GNI per Capita,NY.GNP.PCAP.CD,10070.0,World Bank
ARG,Argentina,Latin America,2021,Population,SP.POP.TOTL,45312281.0,World Bank
ARG,Argentina,Latin America,2022,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.79263019561768,World Bank
ARG,Argentina,Latin America,2022,GNI per Capita,NY.GNP.PCAP.CD,11890.0,World Bank
ARG,Argentina,Latin America,2022,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,516000000.0,World Bank
ARG,Argentina,Latin America,2022,Population,SP.POP.TOTL,45407904.0,World Bank
ARG,Argentina,Latin America,2023,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.89754023690244,World Bank
ARG,Argentina,Latin America,2023,GNI per Capita,NY.GNP.PCAP.CD,12920.0,World Bank
ARG,Argentina,Latin America,2023,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,720000000.0,World Bank
ARG,Argentina,Latin America,2023,Population,SP.POP.TOTL,45538401.0,World Bank
ARG,Argentina,Latin America,2024,GNI per Capita,NY.GNP.PCAP.CD,13530.0,World Bank
ARG,Argentina,Latin America,2024,Population,SP.POP.TOTL,45696159.0,World Bank
BGD,Bangladesh,Asia,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,2.09477473545666,World Bank
BGD,Bangladesh,Asia,2018,GNI per Capita,NY.GNP.PCAP.CD,2020.0,World Bank
BGD,Bangladesh,Asia,2018,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,269000000.0,World Bank
BGD,Bangladesh,Asia,2018,Population,SP.POP.TOTL,163523103.0,World Bank
BGD,Bangladesh,Asia,2018,Railway Infrastructure,IS.RRS.TOTL.KM,2877.0,World Bank
BGD,Bangladesh,Asia,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,1.13094997406006,World Bank
BGD,Bangladesh,Asia,2019,GNI per Capita,NY.GNP.PCAP.CD,2220.0,World Bank
BGD,Bangladesh,Asia,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,35710000.0,World Bank
BGD,Bangladesh,Asia,2019,Population,SP.POP.TOTL,164913055.0,World Bank
BGD,Bangladesh,Asia,2019,Railway Infrastructure,IS.RRS.TOTL.KM,2877.0,World Bank
BGD,Bangladesh,Asia,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,2.13974351741877,World Bank
BGD,Bangladesh,Asia,2020,GNI per Capita,NY.GNP.PCAP.CD,2320.0,World Bank
BGD,Bangladesh,Asia,2020,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,2087000000.0,World Bank
BGD,Bangladesh,Asia,2020,Population,SP.POP.TOTL,166298024.0,World Bank
BGD,Bangladesh,Asia,2021,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,2.17090882504654,World Bank
BGD,Bangladesh,Asia,2021,GNI per Capita,NY.GNP.PCAP.CD,2600.0,World Bank
BGD,Bangladesh,Asia,2021,Population,SP.POP.TOTL,167658854.0,World Bank
